Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2011-12,ACT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"7,845,557.56","7,405,237.78"
2011-12,ACT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"25,878,223.51","29,469,301.22"
2011-12,ACT,Capital expenditure,Capital expenditure,State and local government,State and local government,"174,000,000.00","195,754,403.88"
2011-12,ACT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"28,413,710.10","34,894,604.09"
2011-12,ACT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"2,329,108.03","2,853,160.18"
2011-12,ACT,Hospitals,Private hospitals,Australian Government,Premium rebates,"33,089,182.56","40,636,506.85"
2011-12,ACT,Hospitals,Private hospitals,Non-government,Health insurance funds,"64,370,521.03","79,052,817.75"
2011-12,ACT,Hospitals,Private hospitals,Non-government,Individuals,"14,565,797.10","17,888,115.33"
2011-12,ACT,Hospitals,Private hospitals,Non-government,Other source of funds,"8,986,949.88","11,043,114.14"
2011-12,ACT,Hospitals,Private hospitals,State and local government,State and local government,"4,734,000.00","5,813,779.87"
2011-12,ACT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"22,881,192.17","28,100,172.03"
2011-12,ACT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"228,958,987.12","281,109,725.05"
2011-12,ACT,Hospitals,Public hospital services,Australian Government,Premium rebates,"4,022,231.50","4,939,663.82"
2011-12,ACT,Hospitals,Public hospital services,Non-government,Health insurance funds,"7,824,706.37","9,609,446.63"
2011-12,ACT,Hospitals,Public hospital services,Non-government,Individuals,"2,833,000.00","3,479,180.05"
2011-12,ACT,Hospitals,Public hospital services,Non-government,Other source of funds,"9,122,929.19","11,203,781.59"
2011-12,ACT,Hospitals,Public hospital services,State and local government,State and local government,"638,039,565.85","783,421,689.97"
2011-12,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"2,313,653.15","3,000,706.41"
2011-12,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-2,313,653.15","-3,000,706.41"
2011-12,ACT,Other services,Administration,Australian Government,Department of Veterans' Affairs,"42,825,857.26","55,543,253.88"
2011-12,ACT,Other services,Administration,Australian Government,DoHAC and other,"20,318,433.80","25,860,621.66"
